DX,Description,CMS-HCC PACE/ESRD Model Category V21,CMSHCC,"RxHCC 
Model Category V05 ","CMS-HCC 
PACE/ESRD Model 
for 2017 
Payment Year","CMS-HCC Model 
for 2017 
Payment Year","RxHCC Model 
for 2017 
Payment Year"
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",18,18,30,Yes,Yes,Yes
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",122,122,241,Yes,Yes,Yes
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",18,18,30,Yes,Yes,Yes
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",122,122,241,Yes,Yes,Yes
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",18,18,30,Yes,Yes,Yes
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",122,122,241,Yes,Yes,Yes
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",18,18,30,Yes,Yes,Yes
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",122,122,241,Yes,Yes,Yes
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",18,18,30,Yes,Yes,Yes
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",122,122,241,Yes,Yes,Yes
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",18,18,30,Yes,Yes,Yes
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",122,122,241,Yes,Yes,Yes
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",18,18,30,Yes,Yes,Yes
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",122,122,241,Yes,Yes,Yes
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",18,18,30,Yes,Yes,Yes
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",122,122,241,Yes,Yes,Yes
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",18,18,30,Yes,Yes,Yes
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",122,122,241,Yes,Yes,Yes
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",18,18,30,Yes,Yes,Yes
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",122,122,241,Yes,Yes,Yes
E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema,122,122,241,Yes,Yes,Yes
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",18,18,30,Yes,Yes,Yes
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",122,122,241,Yes,Yes,Yes
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",18,18,30,Yes,Yes,Yes
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",122,122,241,Yes,Yes,Yes
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",18,18,30,Yes,Yes,Yes
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",122,122,241,Yes,Yes,Yes
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",122,122,241,Yes,Yes,Yes
E1036,Type 1 diabetes mellitus with diabetic cataract,18,18,30,Yes,Yes,Yes
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",18,18,30,Yes,Yes,Yes
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",18,18,30,Yes,Yes,Yes
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",18,18,30,Yes,Yes,Yes
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",18,18,30,Yes,Yes,Yes
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,18,18,30,Yes,Yes,Yes
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",18,18,30,Yes,Yes,Yes
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",75,,,Yes,--,--
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,18,18,30,Yes,Yes,Yes
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,18,18,30,Yes,Yes,Yes
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,75,,,Yes,--,--
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,18,18,30,Yes,Yes,Yes
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,18,18,30,Yes,Yes,Yes
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,18,18,30,Yes,Yes,Yes
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,18,18,30,Yes,Yes,Yes
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,108,108,216,Yes,Yes,Yes
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,18,18,30,Yes,Yes,Yes
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,106,106,216,Yes,Yes,Yes
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,108,108,,Yes,Yes,--
E1059,Type 1 diabetes mellitus with other circulatory complications,18,18,30,Yes,Yes,Yes
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,18,18,30,Yes,Yes,Yes
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,18,18,30,Yes,Yes,Yes
E10620,Type 1 diabetes mellitus with diabetic dermatitis,18,18,30,Yes,Yes,Yes
E10621,Type 1 diabetes mellitus with foot ulcer,18,18,30,Yes,Yes,Yes
E10622,Type 1 diabetes mellitus with other skin ulcer,18,18,30,Yes,Yes,Yes
E10628,Type 1 diabetes mellitus with other skin complications,18,18,30,Yes,Yes,Yes
E10630,Type 1 diabetes mellitus with periodontal disease,18,18,30,Yes,Yes,Yes
E10638,Type 1 diabetes mellitus with other oral complications,18,18,30,Yes,Yes,Yes
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,17,17,30,Yes,Yes,Yes
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,18,18,30,Yes,Yes,Yes
E1065,Type 1 diabetes mellitus with hyperglycemia,18,18,30,Yes,Yes,Yes
E1069,Type 1 diabetes mellitus with other specified complication,18,18,30,Yes,Yes,Yes
E108,Type 1 diabetes mellitus with unspecified complications,18,18,30,Yes,Yes,Yes
E109,Type 1 diabetes mellitus without complications,19,19,31,Yes,Yes,Yes
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),17,17,30,Yes,Yes,Yes
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma,17,17,30,Yes,Yes,Yes
E1121,Type 2 diabetes mellitus with diabetic nephropathy,18,18,30,Yes,Yes,Yes
E1121,Type 2 diabetes mellitus with diabetic nephropathy,141,,,Yes,--,--
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,18,18,30,Yes,Yes,Yes
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,139,,,Yes,--,--
E1129,Type 2 diabetes mellitus with other diabetic kidney complication,18,18,30,Yes,Yes,Yes
E1129,Type 2 diabetes mellitus with other diabetic kidney complication,141,,,Yes,--,--
E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,,,241,--,--,Yes
E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,,,241,--,--,Yes
E11321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E11321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,,,241,--,--,Yes
E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",18,18,30,Yes,Yes,Yes
E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",,,241,--,--,Yes
E113212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",18,18,30,Yes,Yes,Yes
E113212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",,,241,--,--,Yes
E113213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113213,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",,,241,--,--,Yes
E113219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",,,241,--,--,Yes
E11329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E11329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,,,241,--,--,Yes
E113291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",18,18,30,Yes,Yes,Yes
E113291,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",,,241,--,--,Yes
E113292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",18,18,30,Yes,Yes,Yes
E113292,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",,,241,--,--,Yes
E113293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113293,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",,,241,--,--,Yes
E113299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113299,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",,,241,--,--,Yes
E11331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E11331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,,,241,--,--,Yes
E113311,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",18,18,30,Yes,Yes,Yes
E113311,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",,,241,--,--,Yes
E113312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",18,18,30,Yes,Yes,Yes
E113312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",,,241,--,--,Yes
E113313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113313,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",,,241,--,--,Yes
E113319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113319,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",,,241,--,--,Yes
E11339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E11339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,,,241,--,--,Yes
E113391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",18,18,30,Yes,Yes,Yes
E113391,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",,,241,--,--,Yes
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",18,18,30,Yes,Yes,Yes
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",,,241,--,--,Yes
E113393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113393,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",,,241,--,--,Yes
E113399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113399,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",,,241,--,--,Yes
E11341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E11341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,,,241,--,--,Yes
E113411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",18,18,30,Yes,Yes,Yes
E113411,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",,,241,--,--,Yes
E113412,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",18,18,30,Yes,Yes,Yes
E113412,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",,,241,--,--,Yes
E113413,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113413,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",,,241,--,--,Yes
E113419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113419,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",,,241,--,--,Yes
E11349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E11349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,,,241,--,--,Yes
E113491,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",18,18,30,Yes,Yes,Yes
E113491,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",,,241,--,--,Yes
E113492,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",18,18,30,Yes,Yes,Yes
E113492,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",,,241,--,--,Yes
E113493,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113493,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",,,241,--,--,Yes
E113499,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113499,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",,,241,--,--,Yes
E11351,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E11351,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,122,122,241,Yes,Yes,Yes
E113511,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",18,18,30,Yes,Yes,Yes
E113511,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",122,122,241,Yes,Yes,Yes
E113512,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",18,18,30,Yes,Yes,Yes
E113512,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",122,122,241,Yes,Yes,Yes
E113513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",122,122,241,Yes,Yes,Yes
E113519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",122,122,241,Yes,Yes,Yes
E113521,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",18,18,30,Yes,Yes,Yes
E113521,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",122,122,241,Yes,Yes,Yes
E113522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",18,18,30,Yes,Yes,Yes
E113522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",122,122,241,Yes,Yes,Yes
E113523,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",18,18,30,Yes,Yes,Yes
E113523,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",122,122,241,Yes,Yes,Yes
E113529,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",18,18,30,Yes,Yes,Yes
E113529,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",122,122,241,Yes,Yes,Yes
E113531,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",18,18,30,Yes,Yes,Yes
E113531,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",122,122,241,Yes,Yes,Yes
E113532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",18,18,30,Yes,Yes,Yes
E113532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",122,122,241,Yes,Yes,Yes
E113533,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",18,18,30,Yes,Yes,Yes
E113533,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",122,122,241,Yes,Yes,Yes
E113539,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",18,18,30,Yes,Yes,Yes
E113539,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",122,122,241,Yes,Yes,Yes
E113541,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",18,18,30,Yes,Yes,Yes
E113541,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",122,122,241,Yes,Yes,Yes
E113542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",18,18,30,Yes,Yes,Yes
E113542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",122,122,241,Yes,Yes,Yes
E113543,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",18,18,30,Yes,Yes,Yes
E113543,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",122,122,241,Yes,Yes,Yes
E113549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",18,18,30,Yes,Yes,Yes
E113549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",122,122,241,Yes,Yes,Yes
E113551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",18,18,30,Yes,Yes,Yes
E113551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",122,122,241,Yes,Yes,Yes
E113552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",18,18,30,Yes,Yes,Yes
E113552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",122,122,241,Yes,Yes,Yes
E113553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",18,18,30,Yes,Yes,Yes
E113553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",122,122,241,Yes,Yes,Yes
E113559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",18,18,30,Yes,Yes,Yes
E113559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",122,122,241,Yes,Yes,Yes
E11359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E11359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,122,122,241,Yes,Yes,Yes
E113591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",18,18,30,Yes,Yes,Yes
E113591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",122,122,241,Yes,Yes,Yes
E113592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",18,18,30,Yes,Yes,Yes
E113592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",122,122,241,Yes,Yes,Yes
E113593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",18,18,30,Yes,Yes,Yes
E113593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",122,122,241,Yes,Yes,Yes
E113599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",18,18,30,Yes,Yes,Yes
E113599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",122,122,241,Yes,Yes,Yes
E1136,Type 2 diabetes mellitus with diabetic cataract,18,18,30,Yes,Yes,Yes
E1137X1,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",18,18,30,Yes,Yes,Yes
E1137X2,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",18,18,30,Yes,Yes,Yes
E1137X3,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",18,18,30,Yes,Yes,Yes
E1137X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",18,18,30,Yes,Yes,Yes
E1139,Type 2 diabetes mellitus with other diabetic ophthalmic complication,18,18,30,Yes,Yes,Yes
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",18,18,30,Yes,Yes,Yes
E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",75,,,Yes,--,--
E1141,Type 2 diabetes mellitus with diabetic mononeuropathy,18,18,30,Yes,Yes,Yes
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,18,18,30,Yes,Yes,Yes
E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,75,,,Yes,--,--
E1143,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,18,18,30,Yes,Yes,Yes
E1144,Type 2 diabetes mellitus with diabetic amyotrophy,18,18,30,Yes,Yes,Yes
E1149,Type 2 diabetes mellitus with other diabetic neurological complication,18,18,30,Yes,Yes,Yes
E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,18,18,30,Yes,Yes,Yes
E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,108,108,216,Yes,Yes,Yes
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,18,18,30,Yes,Yes,Yes
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,106,106,216,Yes,Yes,Yes
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,108,108,,Yes,Yes,--
E1159,Type 2 diabetes mellitus with other circulatory complications,18,18,30,Yes,Yes,Yes
E11610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,18,18,30,Yes,Yes,Yes
E11618,Type 2 diabetes mellitus with other diabetic arthropathy,18,18,30,Yes,Yes,Yes
E11620,Type 2 diabetes mellitus with diabetic dermatitis,18,18,30,Yes,Yes,Yes
E11621,Type 2 diabetes mellitus with foot ulcer,18,18,30,Yes,Yes,Yes
E11622,Type 2 diabetes mellitus with other skin ulcer,18,18,30,Yes,Yes,Yes
E11628,Type 2 diabetes mellitus with other skin complications,18,18,30,Yes,Yes,Yes
E11630,Type 2 diabetes mellitus with periodontal disease,18,18,30,Yes,Yes,Yes
E11638,Type 2 diabetes mellitus with other oral complications,18,18,30,Yes,Yes,Yes
E11641,Type 2 diabetes mellitus with hypoglycemia with coma,17,17,30,Yes,Yes,Yes
E11649,Type 2 diabetes mellitus with hypoglycemia without coma,18,18,30,Yes,Yes,Yes
E1165,Type 2 diabetes mellitus with hyperglycemia,18,18,30,Yes,Yes,Yes
E1169,Type 2 diabetes mellitus with other specified complication,18,18,30,Yes,Yes,Yes
E118,Type 2 diabetes mellitus with unspecified complications,18,18,30,Yes,Yes,Yes
E119,Type 2 diabetes mellitus without complications,19,19,31,Yes,Yes,Yes
E1300,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),17,17,30,Yes,Yes,Yes
E1301,Other specified diabetes mellitus with hyperosmolarity with coma,17,17,30,Yes,Yes,Yes
E1310,Other specified diabetes mellitus with ketoacidosis without coma,17,17,30,Yes,Yes,Yes
E1311,Other specified diabetes mellitus with ketoacidosis with coma,17,17,30,Yes,Yes,Yes
E1321,Other specified diabetes mellitus with diabetic nephropathy,18,18,30,Yes,Yes,Yes
E1321,Other specified diabetes mellitus with diabetic nephropathy,141,,,Yes,--,--
E1322,Other specified diabetes mellitus with diabetic chronic kidney disease,18,18,30,Yes,Yes,Yes
E1322,Other specified diabetes mellitus with diabetic chronic kidney disease,139,,,Yes,--,--
E1329,Other specified diabetes mellitus with other diabetic kidney complication,18,18,30,Yes,Yes,Yes
E1329,Other specified diabetes mellitus with other diabetic kidney complication,141,,,Yes,--,--
E13311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E13311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,,,241,--,--,Yes
E13319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,18,18,30,Yes,Yes,Yes
E13319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,,,241,--,--,Yes
E13321,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,18,18,30,Yes,Yes,Yes
E13321,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,,,241,--,--,Yes
